"","RETAILER","VOLUME","DISP","PRICE"
"1","LOS ANGELES - LUCKY",21374,0.162,2.57846
"2","LOS ANGELES - RALPHS",6427,0.124112567,3.727867
"3","LOS ANGELES - VONS",17302,0.102,2.711421
"4","CHICAGO - DOMINICK",13561,0.027591093,2.651206
"5","CHICAGO - JEWEL",42774,0.090612732,1.986674
"6","CHICAGO - OMNI",4498,0,2.386616
"7","HOUSTON - KROGER CO",6834,0.04901897,2.481124
"8","HOUSTON - RANDALLS",3764,0,3.428268
"9","PITTSBURGH - GIANT EAGLE",5112,0.3085,2.538341
"10","DETROIT - FARMER JACKS",6676,0.137711793,2.562163
"11","DETROIT - KROGER CO",5505,0,2.747321
"12","CLEVELAND - STOP N SHOP",5884,0.021957105,2.653127
"13","ST. LOUIS - NATIONAL SUPER",2588,0.152,3.58694
"14","ST. LOUIS - SCHNUCK MARKETS",4890,0.152,3.297955
"15","DALLAS/FT. WORTH - ALBERTSONS",3097,0.006361034,3.453665
"16","DALLAS/FT. WORTH - KROGER CO",3201,0,2.920025
"17","DALLAS/FT. WORTH - TOM THUMB",5986,0.169,2.666388
"18","BOSTON - SHAWS",2786,0,2.386935
"19","BOSTON - STAR MARKET",622,0,3.120579
"20","BOSTON - STOP & SHOP",2021,0,2.559624
"21","SAN FRANCISCO - LUCKY",6041,0.039,3.716438
"22","TAMPA/ST. PETE - KASH N KARRY",3599,0,2.910253
"23","TAMPA/ST. PETE - PUBLIX",4271,0.023428058,3.03395
"24","TAMPA/ST. PETE - WINN DIXIE",3656,0,2.796772
"25","DENVER - KING SOOPERS INC",7219,0.1465,2.837374
"26","PHILADELPHIA - ACME MARKET",2897,0.071,3.694512
"27","ATLANTA - KROGER CO",4099,0.02360975,2.893145
"28","ATLANTA - WINN DIXIE",2751,0.186,2.639767
"29","CINCINNATI - KROGER CO",5568,0,2.686961
"30","INDIANAPOLIS - KROGER CO",4134,0.025129853,2.665941
"31","OKLAHOMA CITY - HOMELAND",1904,0.10369863,2.940651
"32","SACRAMENTO - RALEYS",1538,0.087,3.719766
"33","SAN DIEGO - LUCKY",7362,0.1705,2.71122
"34","SAN DIEGO - RALPHS",1707,0.121314222,3.809022
"35","SALT LAKE CITY - SMITHS FOOD",901,0.066,2.653718
"36","PHOENIX - SAFEWAY",1254,0,3.318979
"37","PHOENIX - FRY'S FOOD STORE",7243,0,2.653182
"38","PHOENIX - SMITHS FOOD",2139,0,2.653576
"39","MIAMI - PUBLIX",9523,0.017158537,2.728657
"40","MIAMI - WINN DIXIE",8619,0.05821116,2.512356
"41","NASHVILLE - KROGER CO",2669,0.18,2.882728
"42","RALEIGH/GREENSBORO - WINN DIXIE",2977,0,2.505207
"43","RALEIGH/GREENSBORO - FOOD LION",5030,0.023465481,2.652684
"44","ALBANY,NY - PRICE CHOPPER",778,0,3.052699
"45","BALTI/WASH - GIANT FOOD INC",4142,0,3.777885
"46","BALTI/WASH - SAFEWAY",4512,0,3.320479
"47","BALTI/WASH - SUPER FRESH",1069,0,3.53695
"48","MILWAUKEE - KOHLS FOOD STORE",1598,0,3.06821
"49","NEW ORLEANS - WINN DIXIE",5785,0,2.407087
"50","BUFFALO/ROCHESTER - TOPS MARKETS",2084,0,3.235605
"51","BUFFALO/ROCHESTER - WEGMANS",2223,0.202666667,3.249663
"52","CHARLOTTE - BI LO",1618,0,2.333127
"53","CHARLOTTE - HARRIS TEETER",1618,0,2.721261
"54","CHARLOTTE - WINN DIXIE",2901,0,2.333678
"55","CHARLOTTE - FOOD LION",4582,0.060998516,2.702313
"56","HARTFORD - STOP & SHOP",1143,0,3.35958
"57","JACKSONVILLE,FL - PUBLIX",1369,0,2.993426
"58","JACKSONVILLE,FL - WINN DIXIE",2254,0.017697871,2.695652
"59","JACKSONVILLE,FL - FOOD LION",1322,0.028716783,2.702723
"60","LOUISVILLE - KROGER CO",2403,0.08442872,2.696629
"61","LOUISVILLE - WINN DIXIE",2123,0.666,2.599623
"62","RICHMOND/NORFOLK - FOOD LION",5874,0,2.842356
"63","RICHMOND/NORFOLK - NEW FARM FRESH",2588,0,2.547913
"64","COLUMBUS,OH - BIG BEAR",1287,0,3.338772
"65","COLUMBUS,OH - KROGER CO",3352,0.029534954,2.653341
"66","LITTLE ROCK - HARVEST FOODS",1879,0.017650285,2.901543
"67","WICHITA - DILLON COMPANIES",1375,0,3.052364
"68","SOUTH CAROLINA - BI LO",6628,0.104,2.333434
"69","SOUTH CAROLINA - FOOD LION",3328,0,2.6253
"70","SOUTH CAROLINA - WINN DIXIE",3930,0,2.386514
"71","ORLANDO,FL - PUBLIX",3890,0,2.997429
"72","ORLANDO,FL - WINN DIXIE",3488,0,2.40195
"73","ORLANDO,FL - FOOD LION",1307,0,2.557766
"74","SYRACUSE - P & C FOOD MARKE",1350,0,2.653333
"75","SYRACUSE - PRICE CHOPPER",678,0.076,2.870206
"76","SYRACUSE - WEGMANS",707,0.179,3.451202
"77","NEW ENGLAND (NORTH) - SHOP N SAVE",3478,0,2.387004
"78","SAN ANT/CORPUS CHR - H E BUTT",13904,0.108,3.186565
"79","BIRMINGHAM/MONTGOM - BRUNOS",12950,0.03648804,2.13583
"80","BIRMINGHAM/MONTGOM - KROGER",1613,0.152,2.654061
